Source,"TIBIAL KNEE CENTRE ",,,MEDIAL PLATEAU,,,LATERAL PLATEAU,,,MEDIAL MALLEOLUS,,,LATERAL MALLEOLUS,,,TUBEROSITY,,,PCL,,,"ANKLE ",,,PCL OPP,,,Medial epicondyle,,,Lateral epicondyle,,,Plateau_Length,Knee_Centre_To_Ankle_Length
129_Tibia_R,-406.3648503,-98.31241634,-322.8392201,-409.9086129,-105.4974683,-299.5599035,-389.8680361,-98.72621406,-335.1569079,-92.28994349,-136.7280358,-92.24354792,-61.704175,-86.7372543,-119.506037,-349.8221081,-134.969513,-314.573671,-396.6392851,-83.59811995,-309.0413673,-76.99705945,-111.7326456,-105.8747932,-405.3483046,-130.554249,-317.291668,-414.8233147,-104.0834392,-287.528063,-380.2406189,-95.52654481,-347.7814187,41.40798624,394.6350298
130_Tibia_R,-707.7979447,-135.5535698,-105.3468996,-695.9806693,-145.4603494,-75.10646898,-696.5912776,-136.1241158,-131.4281355,-173.7944184,-188.5211862,-46.52124447,-156.0673979,-119.5936881,-100.1607148,-634.5831319,-186.0965276,-134.4578618,-686.6725786,-115.2654366,-95.57599216,-164.9309089,-154.0574379,-73.3409804,-702.7596143,-180.0087432,-99.42349047,-693.5544376,-143.5106802,-57.35128993,-693.7987407,-131.7123985,-153.1399658,57.09350418,544.1244256
131_Tibia_R,-224.1364733,-45.64373526,88.44512139,-215.5991558,-48.97955611,95.27393917,-225.2595589,-45.83585009,78.95283942,-58.51234825,-63.47904466,15.69410497,-62.37375878,-40.26970773,-2.93217482,-207.6875149,-62.66261117,67.62962131,-216.3310925,-38.81229449,87.73772812,-60.44305387,-51.87437646,6.380964977,-221.6699829,-60.61272626,89.32418466,-211.902374,-48.32306152,100.0430267,-228.1006449,-44.35033217,72.15132244,19.22458251,183.2181274
132_Tibia_R,-121.4941302,-36.99792581,152.9273427,-112.7334217,-39.70187744,154.2609674,-126.1296474,-37.15365037,146.7190942,-34.71402768,-51.45488141,34.73148774,-44.97372413,-32.64184341,23.22114107,-118.383555,-50.79309627,131.6486044,-116.3015823,-31.46049253,149.2673193,-39.8438762,-42.04836263,28.97631448,-119.4064192,-49.13149935,152.5447859,-108.2054774,-39.16973568,156.1105178,-130.8806314,-35.94951838,143.0960069,15.58307337,148.5130576
133_Tibia_R,-79.16852253,-101.8689291,531.9123557,-56.44274491,-109.3139048,523.0316365,-98.76865235,-102.2976962,523.4905105,-34.96085983,-141.6742574,130.6070457,-75.2710885,-89.87502838,117.2851347,-101.0455011,-139.852119,476.8911963,-71.82565522,-86.62233389,516.0365774,-55.11597476,-115.7746435,123.9460908,-74.71706216,-135.2771301,528.1260348,-43.09967267,-107.8487223,521.2083159,-115.0851603,-98.98227694,521.3919104,42.90594585,408.9111973
134_Tibia_R,-20.9525563,-151.9132362,632.2468706,6.865646214,-146.0707039,621.6909833,-40.87378567,-164.0032512,622.2364146,48.21098582,-166.6149158,155.243425,-24.0687555,-137.2506085,139.4086048,-20.89838366,-204.0143229,566.8470816,-22.45520779,-131.8546659,613.3764476,12.07111491,-151.9327631,147.3260156,3.484695414,-183.657521,627.7463368,19.73000609,-136.6324826,619.52373,-59.64013433,-170.2875567,619.741956,50.99928533,486.0440297
135_Tibia_R,44.12741186,-108.4171963,482.5956134,60.28652865,-93.93820087,474.5382783,35.5728646,-124.012134,474.9546074,95.45814918,-91.7392329,118.4976936,36.47147142,-99.91392375,106.4109358,64.04766682,-142.8373898,432.6757914,35.47872171,-95.73118082,468.1917725,65.9648105,-95.82657906,112.4543152,72.39664276,-120.0749101,479.1603447,65.1882678,-82.78946616,472.8840085,25.5659827,-135.3285076,473.0505809,38.92788171,370.9986203
136_Tibia_R,114.6288941,-89.08506514,598.5389817,123.0064174,-63.5126872,588.5458756,115.111368,-111.1402809,589.0622275,159.4201843,-39.3400101,146.9667085,101.1326535,-84.69944377,131.9761128,157.3698072,-113.7023247,536.6259459,97.47253088,-80.82244015,580.6746248,130.2764196,-62.0197276,139.4714113,152.2217614,-84.07602083,594.2783913,121.3577081,-48.49827968,586.4941682,111.3806638,-129.5005727,586.7007596,48.28028693,460.1308637
137_Tibia_R,40.67927038,-5.610667798,169.3028338,39.11475922,1.838480211,166.4761822,43.91673011,-10.94516725,166.6222376,44.61608069,12.90992,41.5710271,36.75291734,-6.44512247,37.33078477,54.63088015,-5.596161468,151.7901025,35.3079938,-6.013047261,164.2497189,40.68449927,3.232398698,39.45090612,49.17974325,0.933130453,168.0976825,36.58739579,5.283293755,165.8958359,45.59953912,-15.97041317,165.9542724,13.65656981,130.152691
138_Tibia_R,67.63244016,27.52740933,301.0511252,58.60020332,37.60773363,296.0248263,77.36082018,22.19094127,296.2845392,57.22845073,59.54837222,73.92082105,62.32795808,22.75150707,66.38090164,89.1043261,39.95399383,269.9103146,59.71869387,22.13221337,292.065771,59.77820487,41.14993976,70.15086168,74.90471484,45.1622231,298.9081478,51.64543822,40.66551959,294.9928654,84.4201612,15.94848284,295.096776,24.28385642,231.4350752
139_Tibia_R,74.463539,95.81486092,500.3008163,53.08835384,102.8173818,491.9478781,92.89883355,96.21814641,492.3794812,32.88313671,133.2545595,122.8450719,70.79772939,84.53375745,110.3148818,95.04036926,131.5407107,448.5495632,67.55705813,81.47437052,485.3685351,51.84043361,108.894159,116.5799774,70.27662883,127.2376133,496.7395163,40.53826009,101.4392751,490.2329173,108.2456518,93.09976243,490.4056008,40.35604643,384.6096139
140_Tibia_R,8.884009752,64.41212485,268.0764716,-2.911075243,61.93485604,263.600712,17.33073069,69.5383638,263.8319781,-20.44174763,70.64572528,65.8241449,10.20529693,58.19508261,59.11008598,8.861040226,86.50329861,240.3465682,9.521143012,55.90717051,260.0752989,-5.118225242,64.42040435,62.46711574,-1.477531791,77.87189231,266.1682182,-8.365641119,57.93299348,262.6817836,25.28777527,72.2029471,262.7743127,21.62400337,206.0855887
141_Tibia_R,-56.51733827,138.8581632,618.0969692,-77.21355024,120.3138106,607.7773263,-45.56087786,158.831788,608.3105506,-122.2605242,117.4974248,151.769024,-46.71179207,127.9673742,136.2885925,-82.03072645,182.9427273,554.1608499,-45.44030187,122.6102167,599.6488728,-84.48615841,122.7324005,144.0288089,-92.723896,153.7890855,613.6971589,-83.49158102,106.0347767,605.6585769,-32.74430182,173.3255298,605.8719188,49.85790389,475.166198
142_Tibia_R,-47.71611174,37.08308412,249.1514304,-51.20338989,26.43817253,244.9916401,-47.91694923,46.26392065,245.2065798,-66.36120316,16.37590882,61.17724453,-42.0980856,35.25749904,54.93716918,-65.50770089,47.33041238,223.3791384,-40.57450098,33.64363423,241.7151059,-54.22964465,25.81670421,58.05720713,-63.36474442,34.99798926,247.3778915,-50.51708828,20.1881851,244.1375841,-46.36398388,53.90668597,244.223581,20.09744212,191.5368361
143_Tibia_R,-176.7615551,24.37974812,735.6629536,-169.9633647,-7.988654127,723.3804488,-190.8291235,47.55947603,724.0150958,-193.8679758,-56.09681578,180.63646,-159.7005739,28.00566137,162.2115517,-237.3847722,24.3167145,659.5657767,-153.4220215,26.12818703,713.7059116,-176.784276,-14.04557691,171.4240067,-213.6982256,-4.054684079,730.4262713,-158.9813416,-22.95722641,720.8586998,-198.1413475,69.39542038,721.1126207,59.34119506,565.5458384
144_Tibia_R,-148.7182017,-60.53052064,661.9867902,-128.857052,-82.69632894,650.9343702,-170.1101134,-48.79606404,651.5054577,-125.8406803,-130.9419978,162.5458368,-137.0540797,-50.02870235,145.966171,-195.933122,-87.85556313,593.5106958,-131.3165212,-48.6669262,642.2287316,-131.447381,-90.48535037,154.2560046,-164.7093387,-99.30803311,657.2745582,-113.5640927,-89.42015004,648.6651727,-185.6330266,-35.06940875,648.8936636,53.39821323,508.9067928
145_Tibia_R,-29.12348726,-37.47421783,195.6730051,-20.76342351,-40.21297873,192.4060815,-36.33372831,-37.6319471,192.5748862,-12.86094679,-52.11728474,48.0460227,-27.68974987,-33.0620575,43.1453312,-37.17130585,-51.44698013,175.432536,-26.42228865,-31.86549852,189.8328301,-20.27534855,-42.58967134,45.59567717,-27.48594186,-49.76399268,194.2801426,-15.85494749,-39.67398644,191.735342,-42.33603323,-36.41231375,191.8028804,15.78368179,150.4249374
146_Tibia_R,-94.35660888,-422.1243996,488.3169566,-67.27100413,-424.5166452,474.7139334,-117.7169259,-417.5481922,479.3686851,-41.6679265,-224.0633216,50.38154224,-89.71147157,-162.6589852,67.49941768,-120.4305768,-428.5410878,408.8908355,-85.60504909,-396.9266174,481.0162746,-65.68969974,-193.3611544,58.94048022,-89.05115804,-454.3509238,464.5001382,-51.36813,-421.9177729,473.7050952,-137.1636746,-412.8755193,479.17831,51.13723764,487.3587719
147_Tibia_R,-86.57602066,-559.4510573,194.3650958,-61.7238783,-555.1113049,182.4584589,-108.0100602,-551.70954,189.3541067,-38.23201478,-201.157291,-62.75974605,-82.31391853,-160.2177506,-20.98716531,-110.4999451,-528.1114984,128.3082434,-78.54610914,-536.0792239,200.1238697,-60.2729673,-180.6875217,-41.87345592,-81.70805405,-574.1322388,160.6553585,-47.13234544,-552.5833809,182.849108,-125.8532419,-547.9092327,191.3465157,46.9204923,447.1714658
148_Tibia_R,-25.32921864,-170.1803182,-32.59199863,-18.05832143,-167.3390163,-34.97394805,-31.60009446,-167.4858286,-32.72917861,-11.18539584,-41.78648673,-45.32733627,-24.08227155,-37.52426754,-28.75466374,-32.32855066,-152.5768196,-44.74436034,-22.97993782,-165.1010134,-27.71399496,-17.63383389,-39.65537732,-37.0410002,-23.90501607,-168.9689207,-43.280636,-13.78933189,-166.7556621,-34.50517681,-36.82040659,-166.8144014,-31.66844162,13.72735082,130.827263
149_Tibia_R,-78.99133865,-408.7981811,-353.3845885,-56.31642269,-397.4103088,-355.3872748,-98.54760222,-401.3070689,-349.5535824,-34.88261534,-42.17728374,-187.5762803,-75.10262732,-56.50764079,-136.1711823,-100.8193553,-342.3060117,-358.7563668,-71.66490512,-402.6863608,-332.2900772,-54.99262192,-49.34246248,-161.8737321,-74.54984092,-388.859754,-380.3632635,-43.00321303,-396.5657525,-353.2116094,-114.8275929,-401.147695,-345.6418194,42.80991977,407.9960296
150_Tibia_R,-106.6055675,-239.3318748,-688.8812513,-76.00382904,-224.6706121,-683.5374878,-132.9984178,-233.1615826,-679.3487175,-47.07707285,77.279347,-247.6954589,-101.3574189,25.84259072,-197.2844686,-136.0643428,-157.9926289,-650.2912186,-96.71791882,-246.4229533,-660.1022943,-74.21724669,51.56096915,-222.4899648,-100.6113864,-197.8233179,-706.9589553,-58.03651397,-225.1516387,-680.4247233,-154.9696576,-235.6149397,-674.6692009,57.7756482,550.6255371
151_Tibia_R,-104.9873757,135.0909577,-705.3823985,-74.85014844,144.9639278,-693.6054527,-130.9796025,135.6595566,-694.2139771,-46.36247851,187.8778082,-173.2012993,-99.81889004,119.1855433,-155.534777,-133.9989891,185.4614244,-632.4174505,-95.24981401,114.872063,-684.3291282,-73.09068506,153.5316765,-164.3680389,-99.08418172,179.3944162,-700.3612627,-57.15556361,143.0209124,-691.1875011,-152.6173355,131.2628954,-691.4309705,56.89865762,542.2674583
152_Tibia_R,-44.70033887,199.9764927,-231.3344417,-31.8688507,201.1097911,-224.8901687,-55.7670156,197.808568,-227.0953028,-19.73969239,106.1473756,-23.86766585,-42.49975945,77.05779008,-31.97705894,-57.05257593,203.0163236,-193.7072467,-40.55438987,188.0393384,-227.8758291,-31.11972626,91.6025833,-27.92236252,-42.18694365,215.2434313,-220.0515028,-24.33505025,199.8786057,-224.4122435,-64.97968514,195.5949439,-227.0051149,24.22566771,230.8805129
153_Tibia_R,-23.89107031,154.3832165,-53.63598527,-17.0330018,153.1856409,-50.35029142,-29.80589687,152.2469075,-52.25317866,-10.55030881,55.5103243,17.3188545,-22.71492268,44.21286074,5.791509452,-30.49299261,145.7349141,-35.40727837,-21.67517751,147.9336464,-55.22514669,-16.63261592,49.86159276,11.55518204,-22.54773145,158.4345593,-44.33362073,-13.00639796,152.4880481,-50.45809291,-34.72980889,151.1981944,-52.80299353,12.94793608,123.3991219
154_Tibia_R,-70.72562241,475.1867437,91.00515186,-50.42342761,467.2531058,97.65616062,-88.23550306,467.6630434,91.38819325,-31.23247084,116.6785018,126.5654545,-67.24382891,104.7773014,80.29033659,-90.26953809,426.0332971,124.9376374,-64.16583268,461.0040324,77.3845246,-49.2381504,110.7279021,103.4278961,-66.74888652,471.8042137,120.8505467,-38.50332276,465.6242326,96.34723204,-102.8119426,465.7882477,88.42634573,38.33025585,365.303002
155_Tibia_R,-106.4063752,550.6772438,476.0315974,-75.86181606,535.3370529,478.7293436,-132.7499105,540.5862374,470.8709876,-46.98910944,56.81549339,252.6772226,-101.1680328,76.11939905,183.4312744,-135.8101069,461.1080473,483.2677257,-96.5372016,542.4442316,447.6159443,-74.07857193,66.46744651,218.0542496,-100.4233943,523.8189097,512.3735947,-57.92807287,534.1993815,475.7985835,-154.6800971,540.3715506,465.6015932,57.66769447,549.5966945
156_Tibia_R,-91.48229874,205.3797994,591.1552456,-65.22178117,192.7984113,586.5695586,-114.131009,200.0848367,582.9750151,-40.39862967,-66.31635172,212.5569095,-86.97866254,-22.1765116,169.2973183,-116.7619961,135.5794938,558.0396684,-82.99733073,211.464924,566.4589262,-63.68864679,-44.24643191,190.9271148,-86.33846361,169.7597254,606.6684121,-49.80334361,193.2111986,583.8983767,-132.9853669,202.1901558,578.9593437,49.57948472,472.5127502
157_Tibia_R,-113.0964431,-145.5251806,759.8650767,-80.63146162,-156.1607241,747.1784973,-141.0962705,-146.1376972,747.8340232,-49.9434468,-202.3892082,186.5791079,-107.5287514,-128.3912558,167.5480498,-144.34887,-199.7861866,681.2644257,-102.6067668,-123.7446088,737.1856835,-78.73609992,-165.3902329,177.0635797,-106.7372953,-193.2505718,754.456116,-61.5701736,-154.0676331,744.5737868,-164.4052695,-141.4014445,744.8360614,61.29342457,584.1513831
158_Tibia_R,101.610719,-52.43808462,257.5005592,109.4560481,-56.27046282,247.6924097,90.70545281,-52.65879692,258.790823,18.03026855,-72.92828898,67.22226941,-3.368646988,-46.2641002,71.65847453,77.69670437,-71.99032437,238.6030727,100.798026,-44.58974208,248.5332997,7.330810669,-59.5961949,69.44037239,102.6206363,-69.63530154,254.6669166,114.9350435,-55.516245,243.4453393,82.89148839,-50.95215057,262.054822,22.08627927,210.4912671
159_Tibia_R,237.5980728,-57.48243392,188.761347,239.6700807,-61.6834727,175.1501285,227.9525258,-57.72437793,195.9633943,53.96114525,-79.94371997,53.93401815,36.07790647,-50.7145351,69.87416371,204.5380122,-78.91552664,183.9285507,231.9116175,-48.87910993,180.6938598,45.01952598,-65.32912787,61.90409139,237.0037072,-76.33395935,185.5177405,242.543665,-60.85670192,168.1152137,222.3234568,-55.85355852,203.3448385,24.21089749,230.7397465
160_Tibia_R,316.1301393,-60.54350572,47.05202989,310.8520837,-64.96825947,33.54547534,311.1248052,-60.79833381,58.700926,77.62335863,-84.20090691,20.77820034,69.70578061,-53.41520072,44.73567767,283.4295514,-83.11795992,60.05411984,306.6947278,-51.48203494,42.68796193,73.66456997,-68.80805417,32.75693936,313.8798247,-80.39891824,44.40640459,309.7684341,-64.09746125,25.61532061,309.8775494,-58.82788897,68.39827536,25.50018343,243.0271686
161_Tibia_R,483.4167467,-98.44424553,-190.7581226,465.0034909,-105.6389321,-205.4864924,485.8390139,-98.85859812,-170.2852027,126.1992242,-136.9113773,-33.84898966,134.5275006,-86.85356211,6.324104201,447.9396919,-135.1504964,-145.8633262,466.5821294,-83.71021842,-189.2324193,130.3633632,-111.8824703,-13.76244252,478.0970291,-130.729312,-192.6540831,457.030285,-104.2230069,-215.7724434,491.966658,-95.65463837,-155.6157151,41.463511,395.1642042
162_Tibia_R,183.0512479,-55.74356946,-230.410645,169.8517737,-59.81752529,-232.4199739,190.0354306,-55.97819458,-221.0568793,52.30249456,-77.52539347,-52.32880105,67.76044494,-49.18040203,-34.98653673,178.3646454,-76.52830336,-198.3506632,175.227805,-47.40049914,-224.896207,60.03147019,-63.35289808,-43.65766901,179.9057616,-74.02482942,-229.8342591,163.0296676,-59.01576463,-235.2066312,197.1935834,-54.16396814,-215.5980917,23.478509,223.7597856
163_Tibia_R,97.86552194,-125.9270174,-657.5325477,69.77266361,-135.1302513,-646.554495,122.0945573,-126.4570452,-647.1217399,43.21746429,-175.1330542,-161.4521313,93.04764227,-111.1005521,-144.9840234,124.9091229,-172.8805867,-589.5172014,88.78851104,-107.0796782,-637.9074331,68.13255401,-143.1168039,-153.2180781,92.36277314,-167.225136,-652.8520224,53.27839685,-133.319041,-644.300566,142.2644875,-122.358633,-644.5275195,53.03891807,505.4825639
164_Tibia_R,-80.46449648,-41.52518666,-203.9120777,-86.67713292,-44.56000804,-196.1451038,-71.8287269,-41.69996649,-204.9338245,-14.27798655,-57.75117141,-53.23263246,2.667597339,-36.6360711,-56.74561824,-61.52723113,-57.00840676,-188.9473501,-79.82093308,-35.31016391,-196.810996,-5.805194519,-47.1936215,-54.98912568,-81.26423967,-55.1434881,-201.6681449,-91.01589374,-43.96275061,-192.7818919,-65.64092784,-40.34849058,-207.5185522,17.48990024,166.6858967
165_Tibia_R,-479.9364802,-116.1117036,-381.2886839,-484.1218347,-124.5975964,-353.7946887,-460.4529472,-116.6004187,-395.836467,-108.9988728,-161.4824023,-108.9440774,-72.8756056,-102.4408792,-141.1423914,-413.1567756,-159.4055021,-371.526672,-468.4501188,-98.73341016,-364.9927545,-90.93723946,-131.9616414,-125.0432353,-478.7358907,-154.1908625,-374.7367575,-489.9263344,-122.9275598,-339.5845049,-449.0825033,-112.821455,-410.746623,48.90482808,466.0829966
166_Tibia_R,-636.4551513,-121.8903904,-94.72841426,-625.8290032,-130.7986119,-67.53608065,-626.3780649,-122.403428,-118.1807809,-156.2767364,-169.5191134,-41.83211594,-140.3365185,-107.5391917,-90.06497312,-570.6200566,-167.3388493,-120.9051247,-617.4591254,-103.6472081,-85.94236958,-148.3066282,-138.5291533,-65.94854524,-631.9246615,-161.8646858,-89.40205767,-623.6473246,-129.0454605,-51.57054239,-623.867003,-118.4363916,-137.7041581,51.3387402,489.2791738
167_Tibia_R,-221.8902878,-45.18631619,87.55876787,-213.4385271,-48.48870708,94.3191506,-223.0021184,-45.37650574,78.16161289,-57.92596627,-62.84288889,15.53682636,-61.74867964,-39.86614452,-2.902790006,-205.6061728,-62.03463729,66.9518705,-214.1631287,-38.42333676,86.85846376,-59.83732331,-51.35451697,6.317018084,-219.4485153,-60.00529532,88.4290216,-209.7787926,-47.83879156,99.04044469,-225.8147324,-43.90587495,71.42825737,19.0319232,181.3820055
168_Tibia_R,-209.6307826,-63.83768606,263.866892,-194.5147092,-68.50319127,266.1679808,-217.6290876,-64.10637938,253.1549342,-59.89695781,-88.78228965,59.92708407,-77.59944426,-56.32152902,40.0666762,-204.2636729,-87.64041937,227.1517144,-200.6713548,-54.28317943,257.5517427,-68.74820154,-72.55190971,49.99688027,-206.0285633,-84.77343426,263.2068133,-186.7020149,-67.58501279,269.3592683,-225.8266234,-62.02872237,246.9035159,26.88765191,256.2503098
169_Tibia_R,-23.59095454,-30.35531293,158.5013816,-16.81903599,-32.5737967,155.8550693,-29.43148001,-30.48307868,155.9918064,-10.41777753,-42.21666466,38.91881242,-22.42958149,-26.78132219,34.94909583,-30.10994456,-41.67369652,142.1059554,-21.40289743,-25.81207121,153.7706534,-16.42367968,-34.4989936,36.9339543,-22.26449049,-40.31042295,157.3731185,-12.84301369,-32.13719574,155.3117488,-34.29353864,-29.49513672,155.3664571,12.78528619,121.849002
170_Tibia_R,-6.287225598,-45.58454701,189.7180779,2.060171847,-43.83138055,186.5505768,-12.26498132,-49.21239318,186.7142442,14.46665217,-49.99607439,46.58383549,-7.222302305,-41.18473789,41.832287,-6.270970033,-61.21850027,170.0935881,-6.738125659,-39.56557943,184.0556373,3.622174858,-45.59040643,44.20806146,1.045651227,-55.11004247,188.3676045,5.920375422,-40.99925706,185.90025,-17.89619242,-51.09812235,185.965733,15.30333615,145.8470471
171_Tibia_R,50.87731212,-125.0011116,556.4153123,69.50819015,-108.3073528,547.1254959,41.01422809,-142.9815115,547.6055083,110.0597983,-105.7720222,136.6235609,42.0502893,-115.1971455,122.6879657,73.84464663,-164.6863515,498.8595604,40.90568473,-110.3745939,539.8082039,76.05504404,-110.4845847,129.6557639,83.47071433,-138.4420346,552.4545715,75.15971836,-95.45326436,545.2181826,29.47665468,-156.0288816,545.4102345,44.88244164,427.7480098
172_Tibia_R,121.0311851,-94.06067377,631.9687796,129.8766126,-67.06001889,621.4175352,121.5406063,-117.3477247,621.9627266,168.3241734,-41.5372414,155.1751419,106.781148,-89.43010522,139.3472865,166.159278,-120.0528646,566.5977564,102.916599,-85.33656191,613.1066567,137.5526614,-65.48367401,147.2612149,160.7237018,-88.77186266,627.4702253,128.1358191,-51.20702169,619.2512352,117.6015336,-136.7334817,619.4693652,50.97685348,485.8302454
173_Tibia_R,160.2210622,-22.098409,666.8231664,154.0590137,7.241114445,655.689999,172.9722555,-43.10908989,656.2652589,175.7267467,50.84754661,163.7333723,144.7565653,-25.38502679,147.0325779,215.1714514,-22.04127377,597.8467959,139.0655295,-23.68323745,646.9207584,160.241657,12.73125964,155.3829758,193.7013774,3.67526632,662.0765075,144.1046352,20.80900001,653.4042231,179.6002369,-62.901732,653.6343834,53.78833253,512.6247895
174_Tibia_R,55.129463,22.43851162,245.3968366,47.7669848,30.65532096,241.2997324,63.05939079,18.0885781,241.5114331,46.64882341,48.53986897,60.2553325,50.80560233,18.54551402,54.10929212,72.63191507,32.56783608,220.0129208,48.67870384,18.04070703,238.072574,48.72721324,33.54269159,57.18231258,61.05733722,36.81323788,243.6500241,42.09792327,33.14782451,240.4585466,68.81369566,13.00014154,240.5432476,19.7945832,188.6504669
175_Tibia_R,105.7752227,136.1047082,710.6757341,75.41183946,146.0517671,698.8104116,131.9625005,136.677574,699.4235025,46.71039215,189.2876821,174.5010378,100.5679517,120.0799363,156.7019421,135.0045453,186.8531653,637.163242,95.96458834,115.7340868,689.4644757,73.6391727,154.68381,165.6014907,99.82772994,180.740629,705.6169187,57.5844708,144.0941709,696.3743153,153.7626076,132.2479194,696.6196117,57.32563685,546.3367456
176_Tibia_R,22.47476267,162.9497558,678.1797011,-7.364436446,156.6827626,666.8569269,43.84327236,175.9181121,667.4419839,-51.71352121,178.7195145,166.5218833,25.81735421,147.2218859,149.5366609,22.41665438,218.8359942,608.0286075,24.08658202,141.4339272,657.938339,-12.94808322,162.9707013,158.0292728,-3.737859061,197.0002676,673.3522028,-21.16339401,146.558853,664.5322224,63.97299908,182.6589733,664.7663025,54.70439108,521.3552019
177_Tibia_R,-25.20002049,61.91424907,275.5978389,-34.42807301,53.64567027,270.9965038,-20.31474041,70.82011352,271.2342586,-54.51367333,52.38989669,67.67095961,-20.82791146,57.05825063,60.7685257,-36.57596148,81.57072889,247.0899232,-20.26097784,54.66959462,267.3721789,-37.67079251,54.72407408,64.21974296,-41.3438451,68.5716671,273.6360461,-37.22732911,47.27891702,270.0517932,-14.60006968,77.282601,270.1469184,22.23070366,211.8676904
178_Tibia_R,-133.5242445,103.7697878,697.2017481,-143.2827132,73.98207619,685.5613851,-134.0862491,129.4605706,686.1628522,-185.6989012,45.82479112,171.1926027,-117.8032927,98.66124358,153.7309673,-183.3105413,132.44494,625.0830089,-113.5398379,94.14515727,676.3926426,-151.7510977,72.24301812,162.4617857,-177.313895,97.93505603,692.2388449,-141.3622318,56.49270375,683.1714757,-129.7405781,150.8473607,683.4121214,56.23877716,535.9785283
179_Tibia_R,-175.6307222,24.22377856,730.9565464,-168.8760233,-7.937546675,718.752619,-189.6082933,47.25521406,719.3832059,-192.6277046,-55.73793614,179.4808374,-158.6788887,27.82649502,161.1738026,-235.866102,24.16114821,655.3462016,-152.4405034,25.96103184,709.1399747,-175.6532977,-13.95572026,170.3273208,-212.3310902,-4.028744219,725.7533658,-157.9642577,-22.81035745,716.2470029,-196.8737373,68.95146286,716.4992993,58.96155948,561.9277562
180_Tibia_R,-34.17136389,-13.90825348,152.1064082,-29.60781641,-19.00134829,149.5668652,-39.08663846,-11.21199719,149.6980854,-28.91473693,-30.08687977,37.34857517,-31.49126855,-11.49522367,33.53902269,-45.0200576,-20.1867988,136.3724798,-30.17293498,-11.18232486,147.5665482,-30.20300297,-20.79105178,35.4437991,-37.84568857,-22.8182623,151.0236665,-26.09391379,-20.54629796,149.0454658,-42.65337819,-8.057988286,149.0979668,12.26944484,116.9328233
181_Tibia_L,131.8679215,-156.1875646,1052.197152,98.83364189,-148.1386108,1045.527058,164.740552,-146.279133,1046.871609,98.87468251,-154.9828533,485.9461854,190.0434162,-106.9974814,475.3712914,147.152282,-205.5714669,970.3138461,134.1343072,-124.9687133,1038.592867,144.4590501,-130.9901673,480.6587384,132.3478115,-194.9815316,1043.851698,76.38612502,-147.5395095,1043.801524,189.247825,-153.7136648,1046.288137,65.94684432,572.2321239
182_Tibia_L,71.31602787,-357.6733231,450.5715019,53.45062451,-352.0998848,449.6239987,89.09400909,-351.5925583,450.7565468,53.47281985,-203.9908399,185.6886825,102.7781541,-178.6569465,193.7114209,79.58202513,-358.6608825,398.8669862,72.54172115,-339.3730071,452.6416131,78.12548741,-191.3238932,189.7000517,71.5755591,-373.5861464,436.1726737,41.31069146,-351.352694,448.977831,102.3478872,-354.9168112,448.472923,35.66498156,309.4711862
183_Tibia_L,118.891555,-891.9696141,352.3762287,89.10798951,-883.1331209,355.6540261,148.5293783,-883.3447043,357.712036,89.14499155,-449.2950564,98.05214615,171.3423326,-419.4064252,130.7522155,132.6718691,-850.2968928,276.9042208,120.9349187,-867.273931,370.6192749,130.2436627,-434.3507408,114.4021808,119.3242217,-902.9416805,318.3235996,68.86940414,-881.5157422,355.3439403,170.625031,-886.2405977,351.6440901,59.4573933,515.9220397
184_Tibia_L,103.725499,-827.643853,-122.8549968,77.74118757,-822.397248,-116.5238001,129.5826594,-823.4548534,-115.0611603,77.77346956,-382.2386064,-121.9073874,149.4855454,-373.9205398,-84.16275177,115.7479674,-763.2355671,-161.6996972,105.5082069,-816.9429084,-98.29867637,113.6295081,-378.0795731,-103.0350696,104.1029738,-821.0794327,-153.3697993,60.08427858,-821.0399667,-116.0525552,148.8597443,-822.9959025,-120.9090611,51.87288353,450.1099429
185_Tibia_L,23.81006201,-150.4309161,-119.415288,17.84539496,-150.1145761,-117.5545013,29.7455417,-150.4926964,-117.3851218,17.85280525,-61.99530705,-68.10579183,34.31422496,-64.67383393,-59.64764306,26.56980499,-133.168489,-119.7450014,24.21928044,-151.1220577,-113.3054179,26.08351524,-63.33457049,-63.87671745,23.8967109,-145.6236237,-124.7280531,13.792273,-149.8988421,-117.305039,34.17057308,-149.73027,-118.4949798,11.90735726,103.3221894
186_Tibia_L,119.2916005,-353.5619018,-894.9709075,89.40781947,-356.8507284,-886.1046813,149.0291489,-358.9156631,-886.3169766,89.44494602,-98.38207135,-450.8068414,171.9188641,-131.1921697,-420.8176411,133.1182825,-277.8359463,-853.1579661,121.3418397,-371.8663322,-870.1921285,130.6819058,-114.7871205,-435.8122412,119.725723,-319.3946927,-905.9798926,69.10113545,-356.5395992,-884.4818605,171.1991489,-352.8272997,-889.2226142,59.65745509,517.6580107
187_Tibia_L,121.6251466,144.0557736,-970.4682643,91.15678815,136.6320182,-964.3162659,151.944412,134.9169744,-965.5563797,91.19464096,142.9446376,-448.2005583,175.2818888,98.68650548,-438.4470639,135.7223021,189.603806,-894.945203,123.715492,115.2618309,-957.9206848,133.2382656,120.8155715,-443.3238111,122.0677614,179.8364386,-962.7710386,70.45287093,136.0794518,-962.7247621,174.5480948,141.7740327,-965.0182288,60.82445619,527.7842799
