Source,HIP CENTRE ,,,FEMUR KNEE CENTRE ,,,MEDIAL EPICONDYLE,,,LATERAL EPICONDYLE,,,MEDIAL DISTAL CONDYLE,,,LATERAL DISTAL CONDYLE,,,MEDIAL POSTERIOR CONDYLE,,,LATERAL POSTERIOR CONDYLE,,,Medial Anterior Cortex,,,Lateral Anterior Cortex,,,Medial Posterior Proximal,,,Lateral Posterior Proximal,,,MA Length,TEA Length,AP Length
88_Femur_R,-365.4442224,204.5770042,251.885075,-636.7046381,231.6055437,258.3606875,-624.1303159,221.6570524,233.7538731,-624.5857473,238.6568613,280.8965035,-643.583843,230.0416448,242.0667803,-642.4387631,232.8043447,269.2872786,-630.7966895,244.7998823,236.206907,-631.1932673,252.6961946,269.7433944,-631.7910425,210.3722069,254.9420431,-630.0177341,214.3345632,277.5894073,-619.5306635,237.9509597,239.2909068,-619.3082514,245.4968875,268.5889047,272.6805615,50.11615031,39.20789329
89_Femur_R,-165.0491366,177.2068974,347.2302848,-365.733477,200.6193217,469.5724448,-366.9580613,192.0018269,445.6673646,-346.8819703,206.7272522,481.2291738,-377.9509704,199.2646549,460.3288145,-365.3026256,201.6577366,480.2526282,-370.8964916,212.0484059,450.3947786,-356.6691478,218.8882803,475.7243011,-363.5281237,182.2267671,464.8798056,-352.3891564,185.6590046,481.1009434,-361.1094614,206.1157923,447.8288956,-348.2534892,212.6521596,469.710781,236.1989632,43.41117199,33.96231726
90_Femur_R,64.88686093,374.8044335,810.5672533,-173.3260472,424.323276,1246.891983,-200.8495414,406.0966985,1204.400048,-126.4683313,437.2419572,1248.307534,-205.4802975,421.4580652,1242.880818,-161.2422051,426.5195929,1265.999253,-203.0641722,448.4965531,1217.224281,-150.217107,462.9633446,1248.574517,-174.2491208,385.4217934,1235.964233,-136.691461,392.6812052,1253.896688,-187.8507603,435.9486786,1202.174238,-141.1616301,449.7735325,1228.659703,499.5765958,91.81753036,71.8325713
91_Femur_R,255.8694784,207.8130725,371.2249429,262.4475244,235.2691586,646.7762477,237.451471,225.1632988,634.0030206,285.3398195,242.4320164,634.4656562,245.8958746,233.6805214,653.7642702,273.5469559,236.4869227,652.601077,239.9433078,248.6722097,640.7748452,274.0102867,256.6934286,641.1776962,258.9748027,213.6999457,641.7849272,281.9804106,217.7249799,639.983568,243.0760914,241.7149485,629.3306093,272.837535,249.3802404,629.1046791,276.993915,50.90890454,39.82809703
92_Femur_R,834.340461,425.80066,396.5874485,1128.309676,482.0570805,878.8007588,1070.86948,461.3505785,881.7432446,1156.318986,496.733489,833.5035152,1106.098667,478.8020265,908.1574984,1153.972498,484.5522302,877.7654898,1082.228721,509.5193952,891.2066811,1143.091631,525.9545513,857.0205831,1117.033992,437.8626274,873.5016372,1156.010868,446.1097612,846.7364284,1076.063303,495.2642457,867.6899672,1128.642076,510.9701216,836.7990622,567.5494347,104.3103059,81.60617526
93_Femur_R,950.3319131,439.4312907,-76.07518614,1461.891335,497.4885785,203.2123471,1412.072591,476.1192249,235.4816681,1463.550967,512.6348048,148.2750392,1457.188532,494.1293245,240.9108972,1484.293236,500.0636024,189.0449097,1427.108084,525.8300104,238.0781638,1463.863985,542.7912849,176.1187738,1449.079333,451.8793829,204.2945846,1470.103848,460.3905221,160.2609248,1409.462989,511.1185285,220.2415304,1440.515295,527.3271771,165.5018771,585.717694,107.6494631,84.21853308
94_Femur_R,378.7334092,212.0163392,-261.0447431,659.858067,240.0277574,-267.7558379,646.8264862,229.7174945,-242.2542096,647.2984792,247.3354924,-291.111157,666.9874306,238.4069881,-250.8694113,665.8007104,241.2701521,-279.0797687,653.735279,253.7019011,-244.7964468,654.1462782,261.8853587,-279.5524709,654.7657911,218.0222815,-264.2128763,652.9279973,222.1287268,-287.6838,642.0595699,246.603921,-247.9925946,641.8290699,254.4242525,-278.3559988,282.5964465,51.93859775,40.63366762
95_Femur_R,121.2946328,130.2293728,-255.1795832,268.7775817,147.4351666,-345.0888531,269.6775288,141.1021685,-327.5210064,254.9236068,151.9238856,-353.6553848,277.7562192,146.4396218,-338.295708,268.4609489,148.1982979,-352.9377213,272.5718817,155.8344022,-330.9951836,262.1162049,160.8610268,-349.6098532,267.1568672,133.9184757,-341.6402319,258.9708387,136.4408275,-353.5611483,265.379392,151.4745236,-329.1095159,255.9315363,156.2781008,-345.1905164,173.58265,31.9028762,24.95891163
96_Femur_R,-53.10860021,306.7699459,-663.4331139,141.8639092,347.3001298,-1020.556194,164.3913397,332.38204,-985.7773935,103.5118042,357.8738125,-1021.714794,168.1815211,344.955012,-1017.273136,131.9735257,349.0977713,-1036.195113,166.2039708,367.0854745,-996.2737727,122.949703,378.9262545,-1021.933315,142.6194265,315.460043,-1011.612049,111.8792318,321.4017266,-1026.289405,153.7520969,356.8152898,-983.9556125,115.537976,368.1306567,-1005.633436,408.8934697,75.15081545,58.79352539
97_Femur_R,-235.4046361,191.1918569,-341.5337896,-241.4565596,216.4519622,-595.0460687,-218.4597298,207.1543849,-583.2944644,-262.5178931,223.0419234,-583.7200977,-226.2287368,214.9903867,-601.4751782,-251.6682412,217.5723276,-600.405019,-220.7522656,228.7830163,-589.5246678,-252.0945141,236.1626855,-589.8952982,-238.2615917,196.6078888,-590.4539619,-259.427175,200.3109945,-588.7966782,-223.6344842,222.3822077,-578.9957599,-251.0155609,229.4344175,-578.7878999,254.839507,46.83713053,36.64258339
98_Femur_R,-449.6189585,71.88005051,-512.7859324,-476.451108,100.181729,-893.414539,-439.5692656,105.3563408,-875.7704359,-508.7836498,92.93948616,-876.4094906,-455.553629,109.7129732,-903.0673376,-490.5701063,93.97248926,-901.4605784,-458.7870162,131.7583394,-885.1245929,-505.0803504,117.8249394,-885.681065,-457.3996395,76.77760011,-886.5198543,-487.7005416,65.70340854,-884.0315741,-457.7295208,121.271858,-869.3162716,-498.6264408,109.8863656,-869.0041863,382.6213342,70.3222415,55.01593643
99_Femur_R,-232.5566168,-88.88404956,-280.3803036,-252.9996587,-82.81814518,-488.4998278,-236.9499029,-70.28474356,-478.8524122,-266.3299433,-95.08688999,-479.2018335,-245.7099396,-72.5917262,-493.7777702,-257.9878045,-89.61835154,-492.8992288,-253.2679918,-63.0366886,-483.9670638,-271.3797569,-82.29058749,-484.2713307,-237.5798936,-88.69209647,-484.7299627,-248.9005344,-102.2199327,-483.3694247,-249.9003513,-67.71318182,-475.3234142,-266.153355,-84.28526362,-475.1527727,209.2091048,38.45068708,30.0815291
100_Femur_R,-243.3003772,-299.5631596,-434.6173585,-275.4450158,-307.264509,-757.2233216,-263.6134237,-277.9999919,-742.2688679,-283.8310426,-334.0660185,-742.8105058,-273.5850942,-287.8864083,-765.4046573,-276.8707319,-320.2593406,-764.0428309,-291.1368457,-280.9173485,-750.1970866,-300.5278121,-320.8017923,-750.6687307,-250.1925253,-303.1987662,-751.3796558,-254.9048966,-330.1329384,-749.2706865,-282.9915243,-284.5851034,-736.79857,-291.9657836,-319.428775,-736.5340586,324.2949213,59.60238942,46.62936218
101_Femur_R,-49.72815318,-311.0559924,-354.7562532,-69.30785844,-329.6190461,-618.0832475,-72.88776534,-304.1034003,-605.8766804,-64.29752027,-351.9873887,-606.3187921,-75.90177664,-315.1617241,-624.7612597,-65.01217386,-339.3868705,-623.6496693,-91.15323153,-317.3986504,-612.3480859,-81.51380801,-349.4253671,-612.7330652,-53.11638254,-316.4388335,-613.3133575,-45.45502043,-337.4016444,-611.5919122,-83.89845982,-316.6670525,-601.4115518,-76.02173321,-344.9604146,-601.1956445,264.7056058,48.65042773,38.06119912
102_Femur_R,120.2151369,-314.531411,-379.2126568,112.0110381,-342.180501,-660.6930486,95.05968857,-320.4733038,-647.6449777,128.6044409,-360.2096299,-648.117568,98.17986857,-332.3212002,-667.8314337,121.2082759,-348.9269379,-666.6432118,85.25673828,-342.54342,-654.5625129,111.2975195,-367.0394722,-654.9740321,119.9555215,-321.3253624,-655.594329,138.2518379,-336.6364603,-653.7542096,91.58166695,-337.9887065,-642.8720293,113.9953069,-359.9707953,-642.6412377,282.9540429,52.00432061,40.68508535
103_Femur_R,208.7364572,-169.5323912,-302.8426051,214.1027792,-191.9308663,-527.6353529,193.7111809,-183.6865795,-517.2150473,232.7781469,-197.7742735,-517.5924621,200.6000639,-190.6348677,-533.3361308,223.1576146,-192.9243094,-532.3872063,195.7440032,-202.8649778,-522.7394525,223.5355965,-209.4086298,-523.0680954,211.2697581,-174.3348595,-523.56347,230.0375655,-177.6184531,-522.0939343,198.2997052,-197.1892948,-513.4033282,222.5788742,-203.4425841,-513.219016,225.9696187,41.5311136,32.4914715
104_Femur_R,343.1317447,-54.85606573,-391.3383284,363.6090001,-76.45480869,-681.8193133,335.462209,-80.40387166,-668.3540183,388.2839416,-70.92780995,-668.8417201,347.660855,-83.72868449,-689.1859547,374.3840719,-71.71615784,-687.9597384,350.1284506,-100.5528527,-675.492748,385.4577272,-89.91942238,-675.917426,349.0696585,-58.59368557,-676.5575574,372.1941314,-50.14229222,-674.6585985,349.3214112,-92.54997686,-663.4284506,380.5323538,-83.86101085,-663.1902792,292.0017573,53.66720631,41.98602822
105_Femur_R,220.5457815,84.29346128,-265.8995217,239.933003,78.54084223,-463.2703114,224.7121678,66.65475233,-454.1211552,252.5748193,90.17594405,-454.45253,233.0197755,68.8425864,-468.2756642,244.6635264,84.98983882,-467.4424969,240.1874776,59.78103716,-458.9716507,257.3638256,78.04053129,-459.2602033,225.3096214,84.11142197,-459.6951482,236.0455859,96.94058702,-458.4048778,236.9937653,64.21600386,-450.7744191,252.4073513,79.93218851,-450.6125907,198.4040968,36.46482713,28.52791052
106_Femur_R,336.414236,414.2094337,-600.9504313,380.8609983,424.8581782,-1047.021415,364.5013195,384.3937931,-1026.343719,392.4564542,461.9169344,-1027.092648,378.2892632,398.0638551,-1058.333842,382.8323524,442.8262817,-1056.450829,402.5582724,388.4276557,-1037.306159,415.5432699,443.5763359,-1037.958306,345.9440886,419.2364289,-1038.941311,352.4599386,456.4786192,-1036.025215,391.2956425,393.4991027,-1018.779875,403.7044543,441.6778491,-1018.414133,448.4063257,82.41291093,64.47495665
107_Femur_R,87.41749563,546.8076756,-623.6286937,121.8368072,579.4398078,-1086.533204,128.1299526,534.5856615,-1065.075187,113.0290959,618.7612859,-1065.852379,133.4283058,554.0251723,-1098.272532,114.2853909,596.61074,-1096.318459,160.2389534,557.9574819,-1076.45132,143.293738,614.2574889,-1077.128078,93.37368957,556.2702127,-1078.148178,79.90572333,593.120896,-1075.122036,147.4857354,556.6714005,-1057.225904,133.6391783,606.4085153,-1056.846359,465.3279819,85.5229539,66.90806911
108_Femur_R,-175.6459322,459.5607867,-554.0663374,-163.658951,499.958779,-965.3363911,-138.8913912,468.2424662,-946.2718985,-187.903516,526.3010786,-946.9623985,-143.4502757,485.5533878,-975.7662614,-177.0970042,509.8159753,-974.0301545,-124.5683335,500.4890387,-956.3790859,-162.6164314,536.2801382,-956.9803553,-175.266609,469.4874061,-957.886669,-201.9992953,491.8583998,-955.1980767,-133.8096655,493.8341623,-939.2981597,-166.5581595,525.9521182,-938.9609508,413.4232003,75.98333792,59.4448414
109_Femur_R,-288.4720445,289.2536363,-466.5753062,-293.4799273,320.7468447,-808.7710015,-262.815949,310.4011099,-796.9773819,-320.124877,329.8933405,-789.3948884,-278.9375678,316.2520952,-816.5017052,-307.6930218,325.5444458,-813.4456005,-269.6841241,335.7040934,-804.6362378,-304.920446,344.4117205,-803.6405963,-290.1924172,294.7347341,-799.9679412,-316.7406957,297.6043772,-794.2659628,-272.2553746,327.4792135,-787.4655446,-305.0176016,337.6704387,-784.4287643,343.6783306,61.00618403,46.05292043
110_Femur_R,-462.7638852,776.088774,-416.1897746,-470.7974791,1094.31472,-866.3311195,-421.6066407,1070.482109,-858.2448695,-513.5410332,1091.480183,-832.0761282,-447.4687756,1094.271061,-880.6763622,-493.597979,1104.72935,-868.977264,-432.6244966,1111.77789,-848.589688,-489.1502415,1123.076528,-840.2221311,-465.5236893,1051.116011,-874.9654803,-508.1121644,1050.529189,-864.7421723,-436.7492702,1086.578794,-831.3321094,-489.3060976,1098.301362,-818.9388752,551.3252413,97.86549268,73.87762086
111_Femur_R,-100.387363,190.9433963,5.990189516,-102.1300904,299.5520892,-44.06008487,-91.45912256,294.197656,-45.12595026,-111.402449,295.3041062,-37.93215464,-97.06939512,301.0998439,-46.75981628,-107.0762026,301.7956674,-43.42758495,-93.84922588,300.9085162,-38.83291492,-106.1113549,302.123569,-36.03542147,-100.9860473,292.3730084,-50.36774298,-110.2247646,291.1538931,-48.51077159,-94.74401295,294.3025976,-38.32400724,-106.1451648,295.1606478,-34.72424078,119.5989767,21.22995989,16.0262713
112_Femur_R,-179.0910663,289.6622764,179.5762991,-182.2000922,502.1064044,199.1281149,-163.1630844,494.7846137,192.7052094,-198.7419809,490.0772015,204.8065011,-173.1718112,506.9058295,196.3376557,-191.0239567,505.0085189,202.1065924,-167.4270289,499.5394338,208.41397,-189.3026684,498.9213132,213.819895,-180.1591191,496.6412319,182.9791094,-196.6409917,493.1012931,184.7606597,-169.0233292,488.8794139,203.3077473,-189.3629852,486.9941004,209.6347292,213.3645872,37.87425071,28.59086968
113_Femur_R,-148.5728911,133.6200167,249.1675704,-151.1521207,278.1403719,351.335761,-135.3591314,275.5442368,343.6841702,-164.8751739,267.1426185,350.4257172,-143.6623121,282.745991,351.3217441,-158.4723466,278.9899311,354.6794354,-138.8964746,272.4443877,356.9424077,-157.044376,269.7579375,360.5698976,-149.4589414,280.9124809,337.4665777,-163.1322057,277.6302316,337.2781755,-140.2207559,266.9037472,348.8520995,-157.0944145,262.9248311,352.6156943,177.0060018,31.42025479,23.71881661
114_Femur_R,-171.4620823,-10.23127152,326.1322079,-174.4386689,75.25482962,511.6363599,-156.2126062,77.07533267,502.490963,-190.2759004,64.78829632,504.3807851,-165.7949778,79.86598341,514.279932,-182.8866514,74.17451682,515.4684018,-160.2949137,66.32679908,513.9531434,-181.2386871,61.54866726,516.0284593,-172.4846379,86.02833898,499.3744565,-188.2644099,82.85662322,497.2922019,-161.8232142,65.45758239,502.6702038,-181.2964345,59.30916455,504.1357575,204.2756079,36.26087012,27.37294581
115_Femur_R,-358.5552058,-359.5266822,579.9279622,-364.7797342,-398.6710431,1005.258771,-326.6660616,-385.8118523,990.5999371,-397.8979707,-410.0396445,981.1753063,-346.704365,-393.0843117,1014.867619,-382.4458447,-404.6342028,1011.069045,-335.2028332,-417.2620972,1000.119482,-378.9996824,-428.0852085,998.8819534,-360.6935363,-366.3393914,994.3170411,-393.6916157,-369.9062031,987.2297892,-338.398759,-407.0390147,978.7772359,-379.1204416,-419.7061585,975.0026817,427.1736446,75.8273991,57.2412983
116_Femur_R,-461.8504911,-774.5569456,415.3683077,-469.8682286,-1092.154784,864.6211726,-420.774482,-1068.369213,856.550883,-512.5274162,-1089.325841,830.4337931,-446.5855708,-1092.111211,878.938101,-492.6237253,-1102.548858,867.2620942,-431.7705911,-1109.583485,846.9147588,-488.1847666,-1120.859822,838.5637176,-464.604848,-1049.041339,873.2384911,-507.1092628,-1048.455676,863.0353617,-435.8872233,-1084.434127,829.6912429,-488.3403151,-1096.133557,817.3224702,550.2370468,97.67232759,73.73180284
117_Femur_R,-446.967896,-850.1624662,-26.6709108,-454.7272711,-1333.735273,196.1745267,-407.2155135,-1309.895024,200.9202198,-496.0118161,-1314.821418,168.8903348,-432.1948699,-1340.626546,208.194897,-476.7494984,-1343.724652,193.3583639,-417.8572857,-1339.774672,172.9009086,-472.45358,-1345.184612,160.4452596,-449.6334969,-1301.770905,224.2589448,-490.7682564,-1296.342877,215.9909062,-421.8412642,-1310.36227,170.6350318,-472.6041161,-1314.18268,154.6073168,532.506297,94.52495039,71.35588123
118_Femur_R,-496.4134261,-802.9001447,-497.7584182,-505.0311771,-1391.763228,-551.9531029,-452.2634624,-1371.468328,-534.1497776,-550.8827977,-1358.420091,-567.6927332,-480.0061438,-1405.06651,-544.2183708,-529.4895988,-1399.807452,-560.2089934,-464.0824737,-1384.647972,-577.692093,-524.7184472,-1382.934635,-592.6765016,-499.3739074,-1376.614594,-507.1904953,-545.0591726,-1366.802417,-512.1286839,-468.5071772,-1355.100005,-563.5384136,-524.8856363,-1349.8742,-581.0758531,591.4144573,104.981711,79.24957876
119_Femur_R,-463.6517793,-416.9883082,-777.5778373,-471.7007872,-867.9933286,-1096.414356,-422.4155675,-859.8915637,-1072.536018,-514.5263523,-833.6726131,-1093.57438,-448.3273235,-882.3660953,-1096.370613,-494.5450339,-870.6445502,-1106.848969,-433.454563,-850.2178571,-1113.911032,-490.0887625,-841.8342456,-1125.231348,-466.4168787,-876.644256,-1053.132762,-509.0870672,-866.4013328,-1052.544815,-437.5872507,-832.9271668,-1088.663587,-490.2449177,-820.510154,-1100.408647,552.383056,98.05326472,74.01936854
120_Femur_R,-121.3904025,7.243456692,-230.892565,-123.4977433,-53.2783338,-362.2243636,-110.594196,-54.56719951,-355.7496761,-134.7100643,-45.86831829,-357.0876177,-117.3782495,-56.54290289,-364.0959394,-129.4786807,-52.51350227,-364.9373431,-113.4843566,-46.9575356,-363.8645821,-128.3119677,-43.57475069,-365.3338482,-122.1143435,-60.90567985,-353.5432758,-133.2859848,-58.66019299,-352.0690973,-114.566351,-46.34215427,-355.8765736,-128.3528513,-41.98924484,-356.914145,144.6214691,25.67169114,19.37928703
121_Femur_R,-93.12079093,93.3730942,-150.6137678,-94.73737047,103.5393219,-261.0769285,-84.83882408,100.1996464,-257.2698657,-103.3385463,106.4918746,-254.8221838,-90.04299523,102.0883853,-263.5724536,-99.32545664,105.088021,-262.5859217,-87.05591899,108.3676262,-259.7421979,-98.4304498,111.1785091,-259.4207978,-93.67613925,95.14243087,-258.2352391,-102.246109,96.0687717,-256.3946007,-87.88593661,105.7125775,-254.1993782,-98.46181233,109.0023762,-253.2190843,110.9417657,19.6932223,14.86620438
122_Femur_R,-677.1844538,405.4508233,-364.2073693,-923.0938417,449.5952892,-776.0956862,-877.6045917,435.0935296,-783.2702392,-941.8587904,462.4160589,-733.9003418,-910.8587008,443.2949367,-795.6722536,-943.6236234,456.3201531,-771.8089288,-891.3097676,470.5610716,-787.7538679,-933.3860337,482.766673,-761.849619,-912.9333824,413.133754,-767.7135511,-941.164592,417.1561724,-742.1852622,-882.3968604,459.0321437,-765.107945,-920.0392276,473.3173251,-738.4599038,481.7386704,85.513212,64.55301559
123_Femur_R,-832.3109295,439.0808774,25.10200385,-1285.965117,486.8868991,-228.037492,-1247.187494,471.1822933,-259.3973764,-1280.716354,500.7710854,-178.3035592,-1285.090467,480.0639648,-253.0225187,-1302.897971,494.1695557,-212.9008128,-1262.468761,509.591685,-256.1814075,-1287.903877,522.809678,-209.1037695,-1271.897357,447.4010676,-225.6778502,-1284.551351,451.7571248,-186.4495254,-1241.847579,497.1064919,-239.7688468,-1262.721585,512.5765554,-194.3944714,521.6964078,92.60609191,69.90735529
124_Femur_R,-372.1905605,230.7397575,230.116276,-645.1625886,255.862122,234.111101,-635.7547313,247.6092531,209.6502195,-629.7061204,263.1583491,255.3659737,-651.329428,252.2766272,222.5105536,-648.8915507,259.6892037,245.4489912,-641.8642571,267.7936295,215.1290134,-641.0700265,274.7397678,243.237287,-638.1403225,235.1120696,231.48863,-633.5918123,237.4012051,252.6663873,-628.1670687,261.2325822,217.1801189,-625.7446066,269.3621976,243.3147888,274.1547372,48.66508258,36.7367541
125_Femur_R,-264.7334002,294.7122549,492.2287633,-564.1249111,326.799784,670.9742635,-569.3399177,316.2588108,637.9092439,-533.4541506,336.1188869,684.6140443,-578.3546377,322.2202123,662.0808398,-561.0089724,331.6879225,685.8968581,-572.5989574,342.0392968,647.8711999,-553.7697945,350.9112489,678.4554053,-558.0321429,300.2967887,663.5888749,-539.476256,303.2205859,684.1094485,-556.1381917,333.6592019,641.3926264,-536.7683844,344.0427498,668.7539394,350.1640189,62.15745557,46.9220031
126_Femur_R,18.03772145,315.5133992,598.079452,-163.8624862,349.8657046,924.064896,-186.3969764,338.5807368,896.20019,-128.1248284,359.8425609,920.293256,-181.8161506,344.9629012,923.4363925,-152.9856174,355.0988538,936.2324545,-184.0860553,366.1808405,907.180956,-150.2571496,375.6789856,925.4580439,-162.1669021,321.4920961,913.9561276,-133.9783319,324.6222584,923.0489961,-172.2923674,357.2092685,892.36305,-139.687387,368.3256996,907.3626298,374.8790153,66.54460328,50.23381434
127_Femur_R,401.5935259,402.6816112,649.5382339,408.5652008,446.5245723,1125.922613,365.8766443,432.1218591,1109.504241,445.658706,459.2577766,1098.948347,388.3201977,440.2672509,1136.684836,428.3518208,453.2035056,1132.43031,375.4381069,467.3471593,1120.166442,424.4920066,479.4693969,1118.78037,403.9885259,410.3120678,1113.667519,440.9474512,414.3070132,1105.729566,379.0176481,455.8969734,1096.26243,424.6272609,470.0845876,1092.034806,478.4484153,84.9291604,64.11212122
128_Femur_R,771.7948237,462.0969146,415.091281,1052.06055,512.4088644,884.5250802,1000.215934,495.8810441,892.7019999,1073.447175,527.0208414,836.4345663,1038.116021,505.228281,906.8367168,1075.458576,520.0732683,879.6394141,1015.835879,536.3038051,897.8120425,1063.790678,550.2146678,868.2886754,1040.480559,470.853238,874.9718656,1072.655989,475.437634,845.8769843,1005.677737,523.1641548,872.0022266,1048.579171,539.4451385,841.631151,549.0430415,97.46038025,73.5718062
129_Femur_R,739.1627799,389.9411031,-22.29271092,1142.04622,432.3969096,202.5166563,1107.608398,418.4498862,230.3668966,1137.384873,444.7272461,158.348701,1141.269456,426.3375646,224.7054816,1157.084032,438.8645271,189.0739999,1121.17946,452.5606875,227.5108431,1143.768003,464.2993877,185.701903,1129.552854,397.3301384,200.4210941,1140.790675,401.1986871,165.5830106,1102.8661,441.4727759,212.9350956,1121.40399,455.2115059,172.6387973,463.3107094,82.2420732,62.08366759
130_Femur_R,166.738385,103.3695601,-103.0902454,289.0276635,114.6241778,-104.8798949,284.8130189,110.9269588,-93.92161628,282.1032897,117.892829,-114.4019074,291.790358,113.0179049,-99.68294279,290.6982086,116.3386798,-109.9591788,287.5500375,119.9693975,-96.37607201,287.1942285,123.0812117,-108.9683531,285.8817446,105.3283209,-103.705049,283.8440485,106.3538352,-113.1925144,281.4138069,117.0301009,-97.2949508,280.3285633,120.6721034,-109.0030733,122.8191227,21.80156656,16.45777108
131_Femur_R,207.7995812,231.3311546,-386.3695733,442.8036666,256.517909,-526.6738948,446.8971289,248.2438876,-500.71987,418.7289893,263.8328366,-537.3802912,453.9731345,252.9232244,-519.6930993,440.3578447,260.3547997,-538.3872218,449.4552764,268.4799975,-508.5393982,434.6755313,275.4439391,-532.546135,438.0212149,235.7146732,-520.876815,423.4559749,238.0096758,-536.9842143,436.5345787,261.9021339,-503.4541129,421.3304608,270.052586,-524.9310757,274.8574092,48.78981351,36.83091218
132_Femur_R,-26.68961752,466.8512023,-884.9516754,242.4600632,517.680787,-1367.297899,275.8033503,500.9829201,-1326.067727,189.5806337,532.4430995,-1361.71717,269.0253052,510.4263261,-1366.36793,226.3660422,525.4240462,-1385.301696,272.3839826,541.821571,-1342.31548,222.3288492,555.8755557,-1369.359278,239.9511824,475.6976153,-1352.340402,198.2418036,480.3291778,-1365.794717,254.9333851,528.5467333,-1320.390081,206.6892396,544.995224,-1342.584295,554.6918755,98.46310239,74.32875021
133_Femur_R,-114.0564371,114.3654638,-184.4751271,-116.0364601,126.8172879,-319.7728883,-103.912498,122.7267784,-315.1099122,-126.5713735,130.4336408,-312.1119365,-110.2866838,125.0401482,-322.8294636,-121.6560511,128.7141694,-321.6211371,-106.6280457,132.7311036,-318.1380803,-120.5598266,136.173936,-317.7444223,-114.7366402,116.5325871,-316.2923233,-125.2333317,117.6671902,-314.037868,-107.6446699,129.4791403,-311.3491102,-120.5982401,133.5085596,-310.1484242,135.8839674,24.12070118,18.20846123
134_Femur_R,-542.8274666,146.2375715,-642.0821139,-570.4656488,180.3250148,-1112.998025,-526.8019585,189.0943446,-1096.768121,-608.514332,172.8918575,-1086.3334,-550.041475,184.9745251,-1123.636708,-590.7057942,176.2630005,-1119.43102,-552.3978482,214.5243148,-1107.30793,-600.3836594,200.6565687,-1105.937768,-548.6492211,151.5861311,-1100.883608,-582.2637168,136.7388059,-1093.036776,-549.8028628,202.952766,-1083.678315,-595.8609085,192.5555308,-1079.49922,472.956254,83.95424929,63.37617128
135_Femur_R,-398.4449917,-106.1854743,-470.9580933,-428.5025707,-94.66864688,-816.3682126,-403.9827281,-73.0848691,-804.4638093,-449.9456953,-113.3444009,-796.8100895,-417.2339568,-84.22477706,-824.1715349,-439.8697466,-104.671838,-821.0867226,-429.5679409,-66.31842222,-812.1946089,-454.9634616,-92.72590946,-811.1896147,-404.1046171,-104.9230636,-807.4824605,-420.0119757,-126.6822187,-801.7269204,-423.6757781,-72.71717793,-794.8626224,-449.1195339,-96.21314219,-791.797316,346.9066818,61.57924716,46.48551965
136_Femur_R,-477.6922,-476.4014288,-770.5326971,-529.7021254,-484.6717709,-1335.656844,-512.6165085,-434.03129,-1316.180097,-544.8072413,-528.6749675,-1303.657876,-522.2792048,-460.655576,-1348.423829,-537.6251948,-508.1441962,-1343.37678,-554.4034952,-445.3738395,-1328.828428,-568.7838349,-503.5653849,-1327.184161,-486.7440402,-479.2425637,-1321.1189,-491.4831548,-523.0861112,-1311.702283,-540.8203955,-449.6201692,-1300.471632,-557.6508453,-503.7258341,-1295.456496,567.572667,100.7495657,76.05477731
137_Femur_R,-129.0985633,-479.208218,-566.8302445,-159.1909664,-503.6072119,-982.554924,-166.9325328,-465.0608955,-968.2271612,-152.6289734,-537.1965985,-959.0153864,-163.2955552,-485.5767463,-991.9467555,-155.6050192,-521.4752171,-988.2339731,-189.3821167,-487.6569531,-977.5317067,-177.139667,-530.0188388,-976.3221276,-133.820273,-484.3476642,-971.8603141,-120.7130507,-514.0225491,-964.9331284,-179.1667506,-485.3660994,-956.6714767,-169.9880689,-526.0261532,-952.982171,417.5258947,74.11483154,55.9484992
138_Femur_R,154.8627419,-581.0991036,-686.8534717,138.0664006,-624.9355995,-1190.605595,106.5882438,-589.1754347,-1173.244007,165.3034449,-656.2086252,-1162.081689,122.8348793,-608.5012569,-1201.986096,152.6552284,-641.5136864,-1197.487152,96.71994003,-626.4893539,-1184.518739,135.2330786,-663.5266228,-1183.053038,153.0216203,-589.3531997,-1177.64646,184.7555504,-612.5527681,-1169.25248,106.0519966,-617.8961212,-1159.241469,140.3189194,-655.0037371,-1154.770972,505.9347361,89.80824468,67.79529017
139_Femur_R,330.6726316,-331.5685624,-534.8306266,336.4131177,-367.6689136,-927.086144,301.2633048,-355.8097008,-913.5672353,366.9559581,-378.1534506,-904.8754985,319.7433558,-362.516627,-935.9477727,352.7054464,-373.168356,-932.4445903,309.1362255,-384.8142588,-922.3465055,349.5272703,-394.795725,-921.2052115,332.6446777,-337.8514903,-916.9952836,363.0767048,-341.1409335,-910.4591626,312.0836244,-375.3861609,-902.663911,349.6386389,-387.0682609,-899.1828799,393.9550475,69.93078107,52.79000403
140_Femur_R,578.6650379,-155.8922034,-684.4724956,608.1278981,-192.2301062,-1186.478364,561.5815227,-201.5783887,-1169.176959,648.6885624,-184.3062104,-1158.053335,586.3553164,-197.1865779,-1197.819414,629.7043017,-187.8999169,-1193.336066,588.8672578,-228.6872504,-1180.412607,640.0211013,-213.903953,-1178.951987,584.8711457,-161.593876,-1173.564151,620.7048767,-145.7663275,-1165.199269,586.1009511,-216.3517457,-1155.222961,635.1997575,-205.2680831,-1150.767961,504.1809152,89.49692464,67.5602779
